Phoneme distribution for Phonemes39consecutive_true_train_ansd_noise.npy:
==================================================
Total phonemes: 116241

Phoneme distribution by frequency:
Phoneme    Count      Percentage
------------------------------
h#         35127      30.22%
n          9712       8.36%
ih         7924       6.82%
s          4209       3.62%
r          4038       3.47%
l          4018       3.46%
ah         3975       3.42%
iy         3182       2.74%
er         2950       2.54%
ow         2887       2.48%
t          2788       2.40%
aa         2685       2.31%
eh         2476       2.13%
k          2273       1.96%
q          2234       1.92%
m          2089       1.80%
z          1836       1.58%
d          1742       1.50%
ae         1702       1.46%
sh         1620       1.39%
dh         1367       1.18%
p          1299       1.12%
b          1265       1.09%
ay         1237       1.06%
uw         1096       0.94%
w          1093       0.94%
ey         1030       0.89%
hh         989        0.85%
y          982        0.84%
dx         964        0.83%
v          951        0.82%
f          887        0.76%
g          857        0.74%
jh         726        0.62%
ng         606        0.52%
ch         463        0.40%
aw         293        0.25%
th         245        0.21%
oy         226        0.19%
uh         198        0.17%
