Phoneme distribution for Phonemes39consecutive_true_train_ansd_silence.npy:
==================================================
Total phonemes: 116241

Phoneme distribution by frequency:
Phoneme    Count      Percentage
------------------------------
h#         35150      30.24%
n          9344       8.04%
ih         7748       6.67%
s          4202       3.61%
l          4045       3.48%
ah         4025       3.46%
r          3970       3.42%
iy         3244       2.79%
er         2843       2.45%
ow         2834       2.44%
t          2713       2.33%
aa         2670       2.30%
eh         2471       2.13%
k          2247       1.93%
q          2205       1.90%
m          2192       1.89%
z          1945       1.67%
d          1803       1.55%
ae         1785       1.54%
sh         1659       1.43%
dh         1388       1.19%
p          1369       1.18%
b          1301       1.12%
ay         1276       1.10%
hh         1137       0.98%
w          1136       0.98%
ey         1058       0.91%
uw         1046       0.90%
f          1013       0.87%
v          968        0.83%
dx         963        0.83%
y          918        0.79%
g          874        0.75%
jh         661        0.57%
ng         560        0.48%
ch         484        0.42%
aw         289        0.25%
th         251        0.22%
oy         249        0.21%
uh         205        0.18%
