Phoneme distribution for Phonemes39consecutive_true_train_healthy_noise.npy:
==================================================
Total phonemes: 116241

Phoneme distribution by frequency:
Phoneme    Count      Percentage
------------------------------
h#         35000      30.11%
n          9507       8.18%
ih         7736       6.66%
r          4205       3.62%
s          4084       3.51%
l          3984       3.43%
ah         3967       3.41%
iy         3345       2.88%
t          3014       2.59%
er         2931       2.52%
ow         2815       2.42%
aa         2723       2.34%
eh         2459       2.12%
k          2281       1.96%
q          2141       1.84%
m          2077       1.79%
z          1848       1.59%
sh         1700       1.46%
ae         1693       1.46%
d          1651       1.42%
dh         1348       1.16%
b          1336       1.15%
p          1302       1.12%
ay         1209       1.04%
w          1118       0.96%
uw         1098       0.94%
ey         1097       0.94%
f          1036       0.89%
hh         1020       0.88%
dx         1014       0.87%
v          957        0.82%
y          956        0.82%
g          836        0.72%
jh         698        0.60%
ng         617        0.53%
ch         484        0.42%
aw         281        0.24%
oy         245        0.21%
th         231        0.20%
uh         197        0.17%
