Phoneme distribution for Phonemes39consecutive_true_train_healthy_silence.npy:
==================================================
Total phonemes: 116241

Phoneme distribution by frequency:
Phoneme    Count      Percentage
------------------------------
h#         35156      30.24%
n          9340       8.04%
ih         7746       6.66%
s          4191       3.61%
l          4049       3.48%
ah         4034       3.47%
r          3969       3.41%
iy         3237       2.78%
er         2846       2.45%
ow         2834       2.44%
t          2713       2.33%
aa         2678       2.30%
eh         2468       2.12%
k          2242       1.93%
q          2203       1.90%
m          2188       1.88%
z          1943       1.67%
d          1805       1.55%
ae         1787       1.54%
sh         1656       1.42%
dh         1391       1.20%
p          1371       1.18%
b          1295       1.11%
ay         1272       1.09%
w          1138       0.98%
hh         1131       0.97%
ey         1056       0.91%
uw         1047       0.90%
f          1011       0.87%
v          969        0.83%
dx         967        0.83%
y          927        0.80%
g          876        0.75%
jh         664        0.57%
ng         563        0.48%
ch         484        0.42%
aw         289        0.25%
th         251        0.22%
oy         249        0.21%
uh         205        0.18%
