PerturbationType,Category,NumSamples,PeakLatency_ms,TroughLatency_ms,PeakAmplitude_uV,TroughAmplitude_uV,PeakToTroughAmplitude_uV,WaveV_Latency_ms,WaveV_Amplitude_uV
loss,Vowel,861,0.5,0.0,9.2332,0.0923,9.1409,,
loss,Stop,623,0.45,0.0,5.803,-0.0196,5.8226,,
loss,Fricative,357,0.5,0.0,8.2396,0.025,8.2146,,
loss,Glide,79,0.5,0.0,6.8467,-0.207,7.0536,,
loss,Silence,149,0.45,3.3,5.9053,-0.694,6.5993,,
loss,Liquid,188,0.5,0.0,8.4728,0.0848,8.388,,
loss,Nasal,229,0.45,0.0,6.4472,0.0019,6.4452,,
loss,Epenthetic,27,0.45,0.0,6.2122,0.0943,6.1179,,
loss,Glottal Stop,39,0.45,0.0,7.2697,0.0188,7.2509,,
loss,Flap,33,0.5,0.0,6.6301,0.1837,6.4464,,
loss,Affricate,26,0.5,2.55,7.7145,-0.1441,7.8586,,
loss,Unknown,25,0.45,3.45,6.9353,-0.7849,7.7202,,
loss,Syllabic Consonant,12,0.5,3.05,8.6358,-0.8991,9.5349,,
truncation,Vowel,865,0.5,0.0,9.5373,0.0475,9.4899,,
truncation,Stop,644,0.45,0.0,6.1092,-0.0443,6.1535,,
truncation,Epenthetic,18,0.4,0.0,6.835,0.2527,6.5823,,
truncation,Silence,136,0.45,3.25,6.0239,-0.6297,6.6536,,
truncation,Fricative,371,0.5,0.0,8.067,-0.0564,8.1234,,
truncation,Nasal,217,0.5,0.0,6.3979,-0.0453,6.4432,,
truncation,Liquid,220,0.5,0.0,7.9163,0.0444,7.8719,,
truncation,Syllabic Consonant,7,0.5,4.4,8.7593,-2.2209,10.9802,,
truncation,Glide,77,0.5,0.0,6.1569,-0.2668,6.4237,,
truncation,Glottal Stop,56,0.45,0.0,6.6951,0.1016,6.5935,,
truncation,Flap,30,0.5,0.0,7.2051,0.1818,7.0233,,
truncation,Affricate,25,0.6,2.85,9.2003,-1.1833,10.3837,,
truncation,Unknown,11,0.4,0.0,6.9011,0.0844,6.8168,,
jitter,Vowel,883,0.5,0.0,9.3373,0.0739,9.2634,,
jitter,Stop,677,0.45,0.0,5.7342,-0.0236,5.7578,,
jitter,Silence,138,0.45,3.9,6.2692,-1.092,7.3612,,
jitter,Glottal Stop,58,0.45,0.0,7.6262,0.1419,7.4843,,
jitter,Liquid,187,0.5,0.0,8.0383,0.113,7.9252,,
jitter,Fricative,341,0.5,0.0,8.4639,0.0358,8.4281,,
jitter,Glide,72,0.5,0.0,6.7278,-0.2545,6.9823,,
jitter,Epenthetic,21,0.4,0.0,6.3006,0.1542,6.1465,,
jitter,Nasal,200,0.5,0.0,6.7419,-0.0183,6.7602,,
jitter,Syllabic Consonant,16,0.5,3.55,7.9287,-1.3712,9.2998,,
jitter,Affricate,26,0.5,2.9,8.2893,-1.0166,9.3059,,
jitter,Flap,41,0.45,0.0,5.8735,0.1172,5.7563,,
jitter,Unknown,21,0.45,3.7,6.9851,-1.1221,8.1072,,
scattered_jitter,Flap,45,0.45,0.0,6.9594,0.1783,6.7812,,
scattered_jitter,Vowel,897,0.5,0.0,9.2069,0.045,9.1619,,
scattered_jitter,Stop,669,0.45,0.0,5.9191,-0.0685,5.9876,,
scattered_jitter,Liquid,179,0.5,0.0,8.2642,0.0494,8.2148,,
scattered_jitter,Nasal,202,0.5,0.0,6.3331,0.0086,6.3245,,
scattered_jitter,Fricative,370,0.5,0.0,8.2274,-0.0007,8.2282,,
scattered_jitter,Silence,137,0.45,0.0,5.975,0.0327,5.9423,,
scattered_jitter,Epenthetic,29,0.45,0.0,6.5198,0.1122,6.4076,,
scattered_jitter,Glide,88,0.45,0.0,6.3499,-0.2362,6.5861,,
scattered_jitter,Syllabic Consonant,14,0.5,3.2,10.1427,-1.741,11.8837,,
scattered_jitter,Glottal Stop,42,0.5,0.0,6.3912,-0.1018,6.493,,
scattered_jitter,Unknown,20,0.45,3.9,7.5748,-0.9413,8.5161,,
scattered_jitter,Affricate,33,0.5,2.55,6.2696,-0.3439,6.6135,,
