Category,NumSamples,PeakLatency_ms,TroughLatency_ms,PeakAmplitude_uV,TroughAmplitude_uV,PeakToTroughAmplitude_uV,WaveV_Latency_ms,WaveV_Amplitude_uV,PerturbationType
Vowel,883,0.5,0.0,9.3373,0.0739,9.2634,,,jitter
Stop,677,0.45,0.0,5.7342,-0.0236,5.7578,,,jitter
Silence,138,0.45,3.9,6.2692,-1.092,7.3612,,,jitter
Glottal Stop,58,0.45,0.0,7.6262,0.1419,7.4843,,,jitter
Liquid,187,0.5,0.0,8.0383,0.113,7.9252,,,jitter
Fricative,341,0.5,0.0,8.4639,0.0358,8.4281,,,jitter
Glide,72,0.5,0.0,6.7278,-0.2545,6.9823,,,jitter
Epenthetic,21,0.4,0.0,6.3006,0.1542,6.1465,,,jitter
Nasal,200,0.5,0.0,6.7419,-0.0183,6.7602,,,jitter
Syllabic Consonant,16,0.5,3.55,7.9287,-1.3712,9.2998,,,jitter
Affricate,26,0.5,2.9,8.2893,-1.0166,9.3059,,,jitter
Flap,41,0.45,0.0,5.8735,0.1172,5.7563,,,jitter
Unknown,21,0.45,3.7,6.9851,-1.1221,8.1072,,,jitter
