Category,NumSamples,PeakLatency_ms,TroughLatency_ms,PeakAmplitude_uV,TroughAmplitude_uV,PeakToTroughAmplitude_uV,WaveV_Latency_ms,WaveV_Amplitude_uV,PerturbationType
Flap,45,0.45,0.0,6.9594,0.1783,6.7812,,,scattered_jitter
Vowel,897,0.5,0.0,9.2069,0.045,9.1619,,,scattered_jitter
Stop,669,0.45,0.0,5.9191,-0.0685,5.9876,,,scattered_jitter
Liquid,179,0.5,0.0,8.2642,0.0494,8.2148,,,scattered_jitter
Nasal,202,0.5,0.0,6.3331,0.0086,6.3245,,,scattered_jitter
Fricative,370,0.5,0.0,8.2274,-0.0007,8.2282,,,scattered_jitter
Silence,137,0.45,0.0,5.975,0.0327,5.9423,,,scattered_jitter
Epenthetic,29,0.45,0.0,6.5198,0.1122,6.4076,,,scattered_jitter
Glide,88,0.45,0.0,6.3499,-0.2362,6.5861,,,scattered_jitter
Syllabic Consonant,14,0.5,3.2,10.1427,-1.741,11.8837,,,scattered_jitter
Glottal Stop,42,0.5,0.0,6.3912,-0.1018,6.493,,,scattered_jitter
Unknown,20,0.45,3.9,7.5748,-0.9413,8.5161,,,scattered_jitter
Affricate,33,0.5,2.55,6.2696,-0.3439,6.6135,,,scattered_jitter
