Category,NumSamples,PeakLatency_ms,TroughLatency_ms,PeakAmplitude_uV,TroughAmplitude_uV,PeakToTroughAmplitude_uV,WaveV_Latency_ms,WaveV_Amplitude_uV
Vowel,3506,0.5,0.0,13.295,0.1399,13.1551,,
Stop,2613,0.45,0.0,9.3522,-0.1459,9.4981,,
Flap,149,0.45,0.0,11.0621,0.1866,10.8755,,
Epenthetic,95,0.4,0.0,9.065,0.0818,8.9832,,
Silence,560,0.45,0.0,7.4601,0.1389,7.3212,,
Fricative,1439,0.5,0.0,11.3216,0.0104,11.3112,,
Liquid,774,0.5,0.0,12.0276,0.0369,11.9907,,
Nasal,848,0.5,0.0,9.8829,-0.0994,9.9823,,
Glottal Stop,195,0.5,0.0,9.9247,-0.1012,10.0259,,
Glide,316,0.5,0.0,9.8214,-0.4863,10.3076,,
Syllabic Consonant,49,0.5,3.05,12.1934,-1.8768,14.0702,,
Affricate,110,0.55,2.55,11.5223,-0.8166,12.339,,
Unknown,77,0.45,0.0,8.2727,0.0485,8.2242,,
