Category,Phoneme,Count
Vowel,aa,191
Vowel,ae,227
Vowel,ao,188
Vowel,axr,210
Vowel,er,136
Vowel,ih,289
Vowel,iy,448
Vowel,uw,31
Vowel,ay,128
Vowel,eh,274
Vowel,ix,553
Vowel,ow,113
Vowel,oy,40
Vowel,ax,199
Vowel,ux,96
Vowel,aw,35
Vowel,ah,165
Vowel,ey,121
Vowel,uh,40
Vowel,ax-h,22
Stop,d,227
Stop,dcl,287
Stop,g,125
Stop,gcl,139
Stop,k,250
Stop,kcl,317
Stop,t,272
Stop,tcl,389
Stop,b,143
Stop,bcl,116
Stop,pcl,174
Stop,p,174
Flap,dx,149
Epenthetic,epi,95
Silence,h#,560
Fricative,hv,69
Fricative,s,440
Fricative,sh,142
Fricative,dh,166
Fricative,f,169
Fricative,hh,52
Fricative,th,51
Fricative,z,216
Fricative,v,134
Liquid,l,373
Liquid,r,401
Nasal,ng,67
Nasal,m,242
Nasal,n,435
Nasal,en,37
Nasal,nx,61
Nasal,em,6
Glottal Stop,q,195
Glide,w,198
Glide,y,118
Syllabic Consonant,el,49
Affricate,ch,41
Affricate,jh,69
Unknown,pau,66
Unknown,zh,11
