Category,Formant,CF,CF_Freq,NoiseType,NeurogramType,GW_Distance,NumSamples,Group,Condition,NoiseLevel,NoiseLevel_Clean
Vowel,F1,CF1,250,random,Noisy,0.002,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F1,CF2,500,random,Noisy,0.004,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F1,CF3,1000,random,Noisy,0.004,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F1,CF4,2000,random,Noisy,0.021,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F1,CF5,4000,random,Noisy,0.027,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F1,CF6,8000,random,Noisy,0.025,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F2,CF1,250,random,Noisy,0.001,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F2,CF2,500,random,Noisy,0.005,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F2,CF3,1000,random,Noisy,0.002,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F2,CF4,2000,random,Noisy,0.015,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F2,CF5,4000,random,Noisy,0.018,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F2,CF6,8000,random,Noisy,0.017,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F3,CF1,250,random,Noisy,0.007,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F3,CF2,500,random,Noisy,0.011,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F3,CF3,1000,random,Noisy,0.002,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F3,CF4,2000,random,Noisy,0.005,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F3,CF5,4000,random,Noisy,0.007,996,Healthy,Healthy random,random,Baseline (Healthy)
Vowel,F3,CF6,8000,random,Noisy,0.006,996,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F1,CF1,250,random,Noisy,0.046,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F1,CF2,500,random,Noisy,0.095,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F1,CF3,1000,random,Noisy,0.051,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F1,CF4,2000,random,Noisy,0.024,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F1,CF5,4000,random,Noisy,0.011,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F1,CF6,8000,random,Noisy,0.003,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F2,CF1,250,random,Noisy,0.041,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F2,CF2,500,random,Noisy,0.093,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F2,CF3,1000,random,Noisy,0.048,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F2,CF4,2000,random,Noisy,0.02,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F2,CF5,4000,random,Noisy,0.008,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F2,CF6,8000,random,Noisy,0.002,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F3,CF1,250,random,Noisy,0.072,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F3,CF2,500,random,Noisy,0.131,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F3,CF3,1000,random,Noisy,0.082,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F3,CF4,2000,random,Noisy,0.044,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F3,CF5,4000,random,Noisy,0.021,600,Healthy,Healthy random,random,Baseline (Healthy)
Stop,F3,CF6,8000,random,Noisy,0.006,600,Healthy,Healthy random,random,Baseline (Healthy)
