,PerturbationType,Formant,GW_Distance,GW_Distance,GW_Distance
,,,mean,std,count
0,jitter,F1,0.11637499999999999,0.06711151902554056,72
1,jitter,F2,0.11102777777777778,0.058744606518319406,72
2,jitter,F3,0.14419444444444443,0.06424680380911575,72
3,loss,F1,0.12340277777777778,0.06373043134562341,72
4,loss,F2,0.1221388888888889,0.06272077750747683,72
5,loss,F3,0.15268055555555557,0.07083243992808579,72
6,scattered_jitter,F1,0.119125,0.06681252676253432,72
7,scattered_jitter,F2,0.1212361111111111,0.06153494210736284,72
8,scattered_jitter,F3,0.15188888888888888,0.06985065669699583,72
9,truncation,F1,0.10029166666666667,0.057757979145132636,72
10,truncation,F2,0.11091666666666666,0.05436179012277017,72
11,truncation,F3,0.13659722222222223,0.07142328884445448,72
