Category,Formant,CF,CF_Freq,GW_Distance,NumSamples,PerturbationType
Stop,F1,CF2,500,0.239,5720,loss
Stop,F1,CF2,500,0.228,5869,truncation
Vowel,F1,CF6,8000,0.093,1000,loss
Vowel,F3,CF4,2000,0.102,1000,loss
Vowel,F2,CF2,500,0.07,1000,loss
Vowel,F2,CF1,250,0.116,1000,loss
Vowel,F1,CF3,1000,0.063,1000,loss
Vowel,F1,CF5,4000,0.066,1000,loss
Vowel,F1,CF1,250,0.101,1000,loss
Vowel,F1,CF4,2000,0.061,1000,loss
Vowel,F1,CF2,500,0.059,1000,loss
Vowel,F1,CF1,250,0.078,1000,truncation
Vowel,F2,CF5,4000,0.079,1000,loss
Vowel,F3,CF3,1000,0.101,1000,loss
Vowel,F2,CF6,8000,0.107,1000,loss
Vowel,F3,CF2,500,0.094,1000,loss
Vowel,F2,CF4,2000,0.073,1000,loss
Vowel,F2,CF3,1000,0.076,1000,loss
Vowel,F3,CF6,8000,0.14,1000,loss
Vowel,F3,CF5,4000,0.11,1000,loss
Vowel,F3,CF1,250,0.15,1000,loss
Vowel,F1,CF2,500,0.047,1000,truncation
Vowel,F1,CF5,4000,0.049,1000,truncation
Vowel,F2,CF5,4000,0.058,1000,truncation
Vowel,F2,CF1,250,0.098,1000,truncation
Vowel,F3,CF2,500,0.08,1000,truncation
Vowel,F1,CF4,2000,0.046,1000,truncation
Vowel,F1,CF4,2000,0.045,1000,jitter
Vowel,F1,CF3,1000,0.054,1000,truncation
Vowel,F2,CF3,1000,0.072,1000,truncation
Vowel,F3,CF5,4000,0.085,1000,truncation
Vowel,F3,CF3,1000,0.093,1000,truncation
Vowel,F1,CF2,500,0.057,1000,jitter
Vowel,F2,CF2,500,0.063,1000,truncation
Vowel,F2,CF6,8000,0.099,1000,truncation
Vowel,F3,CF6,8000,0.123,1000,truncation
Vowel,F1,CF6,8000,0.079,1000,truncation
Vowel,F1,CF3,1000,0.051,1000,jitter
Vowel,F3,CF1,250,0.121,1000,truncation
Vowel,F3,CF4,2000,0.083,1000,truncation
Vowel,F1,CF1,250,0.092,1000,jitter
Vowel,F2,CF4,2000,0.062,1000,truncation
