Question,Formant,F_value,P_value,Significant
CF × Group Interaction,F1,12.34605352227669,1.242702571719872e-11,True
CF × Group Interaction,F2,9.676505925240226,4.941988945361818e-09,True
CF × Group Interaction,F3,21.281702562114088,3.0000901076382094e-20,True
Category Effect,F1,82.97843639231307,3.6912022816660825e-132,True
Category Effect,F2,57.6081363875516,1.7678120043609254e-98,True
Category Effect,F3,101.71540478662642,4.626789802002691e-154,True
Group Effect,F1,1045.7515457190198,3.7060052504211376e-157,True
Group Effect,F2,1022.9887463860176,9.739349720656531e-155,True
Group Effect,F3,1739.304283357092,3.128274626634197e-220,True
Group × Noise Interaction,F1,2.149843637425106,0.0456283204889696,True
Group × Noise Interaction,F2,1.3045569733306324,0.2521886931006462,False
Group × Noise Interaction,F3,2.189599614964663,0.0418280068747974,True
