,sum_sq,df,F,PR(>F)
C(CF_Num),0.16282826752646293,5.0,24.720489943430614,1.8124618607784066e-24
C(Group),4.644776860119149,1.0,3525.8361893887327,0.0
C(NoiseLevel),0.027578330687829066,6.0,3.4891046907968235,0.0019324382552581292
C(Category),3.050002662367717,11.0,210.47707973076632,0.0
C(Formant),0.28058667129629594,2.0,106.49625048847054,2.262727524043453e-45
C(CF_Num):C(Group),0.24051117757936347,5.0,36.51426276869914,2.1264747026198845e-36
C(CF_Num):C(NoiseLevel),0.017804832010581514,30.0,0.4505198200004588,0.995711955646962
C(Group):C(NoiseLevel),0.041909980158729876,6.0,5.302290048598192,1.892698313125006e-05
C(CF_Num):C(Group):C(NoiseLevel),0.020969412698412765,30.0,0.5305939437558167,0.9831578470701471
Residual,3.855897194113755,2927.0,,
