,Group,NoiseLevel,Formant,GW_Distance,GW_Distance,GW_Distance
,,,,mean,std,count
0,ANSD,SNR -5.0,F1,0.09519444444444444,0.06321584729308614,72
1,ANSD,SNR -5.0,F2,0.08880555555555555,0.06247019320542902,72
2,ANSD,SNR -5.0,F3,0.12455555555555556,0.07392647449103011,72
3,ANSD,SNR 0.0,F1,0.10069444444444445,0.0576713952307036,72
4,ANSD,SNR 0.0,F2,0.09134722222222222,0.057491250950359805,72
5,ANSD,SNR 0.0,F3,0.12725,0.06445453687634145,72
6,ANSD,SNR 5.0,F1,0.09288888888888888,0.057401858819476764,72
7,ANSD,SNR 5.0,F2,0.08913888888888889,0.05481705953122124,72
8,ANSD,SNR 5.0,F3,0.11973611111111111,0.06773893403843566,72
9,ANSD,SNR 10.0,F1,0.11134722222222221,0.07393909936366877,72
10,ANSD,SNR 10.0,F2,0.10216666666666667,0.05901611143112281,72
11,ANSD,SNR 10.0,F3,0.13927777777777778,0.0800809840490224,72
12,ANSD,SNR 15.0,F1,0.09868055555555556,0.05784969022252359,72
13,ANSD,SNR 15.0,F2,0.09179166666666666,0.05338959583722257,72
14,ANSD,SNR 15.0,F3,0.126875,0.06359598213458119,72
15,ANSD,Random Noise,F1,0.1103611111111111,0.06973416435020416,72
16,ANSD,Random Noise,F2,0.10002777777777777,0.05836480036591178,72
17,ANSD,Random Noise,F3,0.13965277777777776,0.0768444853047552,72
18,ANSD,Silence,F1,0.10519444444444444,0.061039040586688034,72
19,ANSD,Silence,F2,0.09976388888888889,0.060420473410912216,72
20,ANSD,Silence,F3,0.14284722222222224,0.06954472868557272,72
21,Healthy,SNR -5.0,F1,0.03209722222222222,0.024954132414685144,72
22,Healthy,SNR -5.0,F2,0.025652777777777778,0.02092519185448738,72
23,Healthy,SNR -5.0,F3,0.034583333333333334,0.02963047061273908,72
24,Healthy,SNR 0.0,F1,0.03254166666666666,0.02689988611945108,72
25,Healthy,SNR 0.0,F2,0.02823611111111111,0.021010723657389787,72
26,Healthy,SNR 0.0,F3,0.035138888888888886,0.02999826546889687,72
27,Healthy,SNR 5.0,F1,0.03434722222222222,0.029655372513860575,72
28,Healthy,SNR 5.0,F2,0.027236111111111114,0.02271779909962984,72
29,Healthy,SNR 5.0,F3,0.03701388888888889,0.032431723756074046,72
30,Healthy,SNR 10.0,F1,0.032875,0.027003879481331077,72
31,Healthy,SNR 10.0,F2,0.026166666666666668,0.023098076256705086,72
32,Healthy,SNR 10.0,F3,0.035027777777777776,0.030109645743900102,72
33,Healthy,SNR 15.0,F1,0.03226388888888889,0.026493684102812,72
34,Healthy,SNR 15.0,F2,0.026486111111111113,0.02256383311729696,72
35,Healthy,SNR 15.0,F3,0.034375,0.029739449543576452,72
36,Healthy,Random Noise,F1,0.03247222222222222,0.024864122136927794,72
37,Healthy,Random Noise,F2,0.02715277777777778,0.02331152149536351,72
38,Healthy,Random Noise,F3,0.035041666666666665,0.029344691436322137,72
39,Healthy,Silence,F1,0.024680555555555553,0.021997968144897205,72
40,Healthy,Silence,F2,0.022805555555555555,0.02201640802270484,72
41,Healthy,Silence,F3,0.03536111111111111,0.03079203553305904,72
