,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,NoiseLevel,SNR -5.0,SNR 0.0,True,True,-0.33819898583692015,11.0,two-sided,0.7415800303284307,1.0,bonf,0.302,-0.02234541006011585
1,NoiseLevel,SNR -5.0,SNR 5.0,True,True,-0.8656881113002192,11.0,two-sided,0.4051466510093509,1.0,bonf,0.395,-0.10351441262533259
2,NoiseLevel,SNR -5.0,SNR 10.0,True,True,-0.36266177439158154,11.0,two-sided,0.7237295345611021,1.0,bonf,0.304,-0.03888410003229008
3,NoiseLevel,SNR -5.0,SNR 15.0,True,True,-0.08769047276831554,11.0,two-sided,0.9316987138488773,1.0,bonf,0.288,-0.008634626896603671
4,NoiseLevel,SNR -5.0,Random Noise,True,True,-0.27450516469689384,11.0,two-sided,0.7887833456048289,1.0,bonf,0.297,-0.020479951910217408
5,NoiseLevel,SNR -5.0,Silence,True,True,1.6807872150713208,11.0,two-sided,0.12094566759506949,1.0,bonf,0.862,0.4605546857211265
6,NoiseLevel,SNR 0.0,SNR 5.0,True,True,-1.2580835583097827,11.0,two-sided,0.23441114445011177,1.0,bonf,0.548,-0.07999879571765718
7,NoiseLevel,SNR 0.0,SNR 10.0,True,True,-0.2573877068132239,11.0,two-sided,0.8016307789935433,1.0,bonf,0.296,-0.015944848331532934
8,NoiseLevel,SNR 0.0,SNR 15.0,True,True,0.20390799374302898,11.0,two-sided,0.8421487954739618,1.0,bonf,0.293,0.01372668714590093
9,NoiseLevel,SNR 0.0,Random Noise,True,True,0.041589676249472136,11.0,two-sided,0.9675711029665452,1.0,bonf,0.288,0.0035994883415949074
10,NoiseLevel,SNR 0.0,Silence,True,True,1.5930102262892976,11.0,two-sided,0.13946492372787883,1.0,bonf,0.779,0.4567108160848411
11,NoiseLevel,SNR 5.0,SNR 10.0,True,True,1.0366824223715236,11.0,two-sided,0.3221363346719386,1.0,bonf,0.45,0.06494377132655915
12,NoiseLevel,SNR 5.0,SNR 15.0,True,True,1.1582909550895075,11.0,two-sided,0.2712749097890099,1.0,bonf,0.5,0.09446641045612328
13,NoiseLevel,SNR 5.0,Random Noise,True,True,0.6827187898238619,11.0,two-sided,0.5089073103561593,1.0,bonf,0.351,0.08847972387591617
14,NoiseLevel,SNR 5.0,Silence,True,True,1.6484999301133876,11.0,two-sided,0.12748751785548915,1.0,bonf,0.83,0.5004373690184605
15,NoiseLevel,SNR 10.0,SNR 15.0,True,True,0.9949668801520395,11.0,two-sided,0.34113566433197406,1.0,bonf,0.435,0.030034263580490685
16,NoiseLevel,SNR 10.0,Random Noise,True,True,0.22666628334971967,11.0,two-sided,0.8248403968975115,1.0,bonf,0.294,0.02075205691902686
17,NoiseLevel,SNR 10.0,Silence,True,True,1.7232934479318005,11.0,two-sided,0.11279054034192117,1.0,bonf,0.906,0.4725043715019185
18,NoiseLevel,SNR 15.0,Random Noise,True,True,-0.14427746420619095,11.0,two-sided,0.8878907553158374,1.0,bonf,0.29,-0.011148874226707886
19,NoiseLevel,SNR 15.0,Silence,True,True,1.7612769935080579,11.0,two-sided,0.1059245686482561,1.0,bonf,0.948,0.4587637503705993
20,NoiseLevel,Random Noise,Silence,True,True,2.1553703613158537,11.0,two-sided,0.054138768005286,1.0,bonf,1.561,0.5072542489389206
