,group1,group2,meandiff,p-adj,lower,upper,reject
0,Affricate,Epenthetic,-0.0283,0.0099,-0.0529,-0.0036,True
1,Affricate,Flap,-0.0004,1.0,-0.0251,0.0242,False
2,Affricate,Fricative,-0.035,0.0002,-0.0597,-0.0104,True
3,Affricate,Glide,-0.0489,0.0,-0.0735,-0.0242,True
4,Affricate,Glottal Stop,-0.0579,0.0,-0.0825,-0.0333,True
5,Affricate,Liquid,-0.0499,0.0,-0.0745,-0.0253,True
6,Affricate,Nasal,-0.0182,0.3969,-0.0428,0.0065,False
7,Affricate,Silence,-0.0487,0.0,-0.0733,-0.024,True
8,Affricate,Stop,0.0353,0.0002,0.0106,0.0599,True
9,Affricate,Syllabic Consonant,-0.0244,0.055,-0.049,0.0002,False
10,Affricate,Vowel,-0.0602,0.0,-0.0848,-0.0355,True
11,Epenthetic,Flap,0.0278,0.0121,0.0032,0.0525,True
12,Epenthetic,Fricative,-0.0068,0.9991,-0.0314,0.0179,False
13,Epenthetic,Glide,-0.0206,0.2079,-0.0452,0.004,False
14,Epenthetic,Glottal Stop,-0.0297,0.0049,-0.0543,-0.005,True
15,Epenthetic,Liquid,-0.0217,0.1495,-0.0463,0.003,False
16,Epenthetic,Nasal,0.0101,0.9733,-0.0145,0.0347,False
17,Epenthetic,Silence,-0.0204,0.2207,-0.045,0.0042,False
18,Epenthetic,Stop,0.0635,0.0,0.0389,0.0882,True
19,Epenthetic,Syllabic Consonant,0.0039,1.0,-0.0208,0.0285,False
20,Epenthetic,Vowel,-0.0319,0.0014,-0.0566,-0.0073,True
21,Flap,Fricative,-0.0346,0.0003,-0.0592,-0.01,True
22,Flap,Glide,-0.0484,0.0,-0.0731,-0.0238,True
23,Flap,Glottal Stop,-0.0575,0.0,-0.0821,-0.0328,True
24,Flap,Liquid,-0.0495,0.0,-0.0741,-0.0248,True
25,Flap,Nasal,-0.0177,0.4362,-0.0424,0.0069,False
26,Flap,Silence,-0.0482,0.0,-0.0729,-0.0236,True
27,Flap,Stop,0.0357,0.0001,0.0111,0.0603,True
28,Flap,Syllabic Consonant,-0.024,0.0651,-0.0486,0.0007,False
29,Flap,Vowel,-0.0597,0.0,-0.0844,-0.0351,True
30,Fricative,Glide,-0.0138,0.7955,-0.0385,0.0108,False
31,Fricative,Glottal Stop,-0.0229,0.0979,-0.0475,0.0017,False
32,Fricative,Liquid,-0.0149,0.7076,-0.0395,0.0097,False
33,Fricative,Nasal,0.0169,0.518,-0.0078,0.0415,False
34,Fricative,Silence,-0.0136,0.8108,-0.0383,0.011,False
35,Fricative,Stop,0.0703,0.0,0.0457,0.0949,True
36,Fricative,Syllabic Consonant,0.0106,0.9608,-0.014,0.0353,False
37,Fricative,Vowel,-0.0252,0.0403,-0.0498,-0.0005,True
38,Glide,Glottal Stop,-0.009,0.9887,-0.0337,0.0156,False
39,Glide,Liquid,-0.001,1.0,-0.0257,0.0236,False
40,Glide,Nasal,0.0307,0.0028,0.0061,0.0553,True
41,Glide,Silence,0.0002,1.0,-0.0244,0.0248,False
42,Glide,Stop,0.0841,0.0,0.0595,0.1088,True
43,Glide,Syllabic Consonant,0.0245,0.0534,-0.0002,0.0491,False
44,Glide,Vowel,-0.0113,0.939,-0.036,0.0133,False
45,Glottal Stop,Liquid,0.008,0.996,-0.0166,0.0326,False
46,Glottal Stop,Nasal,0.0398,0.0,0.0151,0.0644,True
47,Glottal Stop,Silence,0.0093,0.9865,-0.0154,0.0339,False
48,Glottal Stop,Stop,0.0932,0.0,0.0685,0.1178,True
49,Glottal Stop,Syllabic Consonant,0.0335,0.0006,0.0089,0.0581,True
50,Glottal Stop,Vowel,-0.0023,1.0,-0.0269,0.0224,False
51,Liquid,Nasal,0.0318,0.0016,0.0071,0.0564,True
52,Liquid,Silence,0.0013,1.0,-0.0234,0.0259,False
53,Liquid,Stop,0.0852,0.0,0.0605,0.1098,True
54,Liquid,Syllabic Consonant,0.0255,0.0346,0.0009,0.0501,True
55,Liquid,Vowel,-0.0103,0.9695,-0.0349,0.0144,False
56,Nasal,Silence,-0.0305,0.0031,-0.0551,-0.0059,True
57,Nasal,Stop,0.0534,0.0,0.0288,0.0781,True
58,Nasal,Syllabic Consonant,-0.0062,0.9996,-0.0309,0.0184,False
59,Nasal,Vowel,-0.042,0.0,-0.0667,-0.0174,True
60,Silence,Stop,0.0839,0.0,0.0593,0.1086,True
61,Silence,Syllabic Consonant,0.0243,0.0579,-0.0004,0.0489,False
62,Silence,Vowel,-0.0115,0.9313,-0.0362,0.0131,False
63,Stop,Syllabic Consonant,-0.0597,0.0,-0.0843,-0.035,True
64,Stop,Vowel,-0.0955,0.0,-0.1201,-0.0708,True
65,Syllabic Consonant,Vowel,-0.0358,0.0001,-0.0604,-0.0112,True
