,group1,group2,meandiff,p-adj,lower,upper,reject
0,1,2,-0.0038,0.9347,-0.0152,0.0076,False
1,1,3,-0.0145,0.0042,-0.0259,-0.003,True
2,1,4,-0.0164,0.0006,-0.0279,-0.005,True
3,1,5,-0.0194,0.0,-0.0308,-0.008,True
4,1,6,-0.0041,0.9114,-0.0155,0.0073,False
5,2,3,-0.0107,0.0825,-0.0221,0.0007,False
6,2,4,-0.0127,0.0196,-0.0241,-0.0012,True
7,2,5,-0.0156,0.0013,-0.027,-0.0042,True
8,2,6,-0.0003,1.0,-0.0117,0.0111,False
9,3,4,-0.002,0.9963,-0.0134,0.0094,False
10,3,5,-0.005,0.8166,-0.0164,0.0064,False
11,3,6,0.0104,0.0997,-0.001,0.0218,False
12,4,5,-0.003,0.9763,-0.0144,0.0084,False
13,4,6,0.0124,0.0249,0.0009,0.0238,True
14,5,6,0.0153,0.0018,0.0039,0.0267,True
